maingroup,direction,mean,sd,n,se
Deaf Early,forward,0.6256795581212239,0.5052839627344579,15,0.13046375818508296
Deaf Early,reversed,0.4929964375518263,0.613824631897279,15,0.1584888384553373
Deaf Late,forward,0.80696089550049,0.30615566202754685,14,0.08182354245200264
Deaf Late,reversed,0.7371807517415235,0.356936805962958,13,0.09899645815382968
Hearing Late,forward,0.7509362056976958,0.34445830153455864,12,0.09943654655778936
Hearing Late,reversed,0.6120899224643631,0.41448205020662704,12,0.11965066163053206
Hearing Novice,forward,0.651921564696655,0.4097235761916117,11,0.12353630636274263
Hearing Novice,reversed,0.291672066399123,0.5730023716267614,11,0.1727667155154322
